2018-04-11 14:31:27,122 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1/model_epoch49.ckpt
2018-04-11 14:31:36,558 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 1.056335687637329
2018-04-11 14:31:39,138 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 1.061805248260498
2018-04-11 14:31:41,746 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 1.028056263923645
2018-04-11 14:31:44,328 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 1.0653852224349976
2018-04-11 14:31:46,911 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 1.0266913175582886
2018-04-11 14:31:49,497 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 1.0644476413726807
2018-04-11 14:31:52,092 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.9801542162895203
2018-04-11 14:31:54,680 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 1.0821419954299927
2018-04-11 14:31:57,281 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 1.0377007722854614
2018-04-11 14:31:59,870 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 1.0235774517059326
2018-04-11 14:32:02,471 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 1.0360788106918335
2018-04-11 14:32:05,062 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 1.0663816928863525
2018-04-11 14:32:07,662 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.9908192753791809
2018-04-11 14:32:10,259 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.9810566306114197
2018-04-11 14:32:12,846 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 1.032334327697754
2018-04-11 14:32:15,440 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 1.016057014465332
2018-04-11 14:32:18,036 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 1.0303317308425903
2018-04-11 14:32:20,641 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 1.0409621000289917
2018-04-11 14:32:23,255 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 1.0188071727752686
2018-04-11 14:32:25,853 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 1.0681216716766357
2018-04-11 14:32:28,458 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 1.0439574718475342
