2018-04-14 11:11:17,403 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_2/model_epoch24.ckpt
2018-04-14 11:14:32,586 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_2/model_epoch49.ckpt
2018-04-14 11:14:41,877 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 1.0076162815093994
2018-04-14 11:14:44,510 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.9921321272850037
2018-04-14 11:14:47,129 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.9670851826667786
2018-04-14 11:14:49,750 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.9998486042022705
2018-04-14 11:14:52,365 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.9761754870414734
2018-04-14 11:14:54,973 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.9785272479057312
2018-04-14 11:14:57,587 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.9232164025306702
2018-04-14 11:15:00,193 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.9990944862365723
2018-04-14 11:15:02,820 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.9581540822982788
2018-04-14 11:15:05,448 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.9476702213287354
2018-04-14 11:15:08,070 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.944835901260376
2018-04-14 11:15:10,697 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 1.0041697025299072
2018-04-14 11:15:13,326 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.9376365542411804
2018-04-14 11:15:15,943 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 1.135482907295227
2018-04-14 11:15:18,566 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 1.1719882488250732
2018-04-14 11:15:21,192 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 1.0488625764846802
2018-04-14 11:15:23,811 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 1.0807009935379028
2018-04-14 11:15:26,442 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 1.0971266031265259
2018-04-14 11:15:29,076 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 1.0547374486923218
2018-04-14 11:15:31,695 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 1.1211109161376953
2018-04-14 11:15:34,336 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 1.052320122718811
2018-04-14 11:15:36,973 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 1.076059341430664
2018-04-14 11:15:39,592 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 1.0251466035842896
2018-04-14 11:15:42,222 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 1.0191560983657837
2018-04-14 11:15:44,848 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 1.0518457889556885
2018-04-14 11:15:47,502 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 1.1424213647842407
2018-04-14 11:15:50,112 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 1.3052632808685303
2018-04-14 11:15:52,744 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 1.2026609182357788
2018-04-14 11:15:55,371 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 1.0611751079559326
2018-04-14 11:15:57,997 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 1.1535134315490723
2018-04-14 11:16:00,632 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 1.0778191089630127
2018-04-14 11:16:03,287 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 1.0968868732452393
2018-04-14 11:16:05,943 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 1.0169527530670166
2018-04-14 11:16:08,573 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 1.1852328777313232
2018-04-14 11:16:11,199 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 1.080094337463379
2018-04-14 11:16:13,841 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 1.1537076234817505
2018-04-14 11:16:16,493 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 1.1138569116592407
2018-04-14 11:16:19,136 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 1.028490662574768
2018-04-14 11:16:21,769 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 1.0997560024261475
2018-04-14 11:16:24,406 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 1.0944273471832275
2018-04-14 11:16:27,061 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 1.1598316431045532
2018-04-14 11:16:29,708 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 1.7327884435653687
2018-04-14 11:16:32,339 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 1.3261243104934692
2018-04-14 11:16:34,987 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 1.2329603433609009
2018-04-14 11:16:37,626 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 1.1930075883865356
2018-04-14 11:16:40,282 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 1.2577462196350098
2018-04-14 11:16:42,930 INFO Train Epoch 0, Batch 46000 - 47000: RMSE = 1.1467959880828857
2018-04-14 11:16:45,566 INFO Train Epoch 0, Batch 47000 - 48000: RMSE = 1.2263169288635254
