2018-05-08 07:21:25,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_group_run_1_3/model_epoch49.ckpt
2018-05-08 07:21:35,511 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.9753484725952148
2018-05-08 07:21:38,044 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.9704363346099854
2018-05-08 07:21:40,557 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.9385387301445007
2018-05-08 07:21:43,073 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.9795863628387451
2018-05-08 07:21:45,593 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.9422727823257446
2018-05-08 07:21:48,110 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.9383781552314758
2018-05-08 07:21:50,632 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.916976273059845
2018-05-08 07:21:53,245 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.9869107007980347
2018-05-08 07:21:55,764 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.9355273842811584
2018-05-08 07:21:58,285 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.9328483939170837
2018-05-08 07:22:00,806 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.9195300340652466
2018-05-08 07:22:03,316 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.9695736169815063
2018-05-08 07:22:05,830 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.892997682094574
2018-05-08 07:22:08,355 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.910716712474823
2018-05-08 07:22:10,873 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.9120877385139465
2018-05-08 07:22:13,405 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.9255654811859131
2018-05-08 07:22:15,928 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.9485365748405457
2018-05-08 07:22:18,461 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.9323513507843018
2018-05-08 07:22:20,995 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.9105442762374878
2018-05-08 07:22:23,526 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.9581320285797119
2018-05-08 07:22:26,058 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.9414147734642029
2018-05-08 07:22:28,582 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.9525018334388733
2018-05-08 07:22:31,110 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.9271966814994812
2018-05-08 07:22:33,642 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.9495394229888916
2018-05-08 07:22:36,167 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 0.9383379220962524
