2018-04-11 10:46:04,629 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1/model_epoch49.ckpt
2018-04-11 10:46:13,429 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 1.0410566329956055
2018-04-11 10:46:15,713 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 1.0353912115097046
2018-04-11 10:46:17,994 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 1.0278640985488892
2018-04-11 10:46:20,270 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 1.044060230255127
2018-04-11 10:46:22,551 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 1.016904354095459
2018-04-11 10:46:24,838 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 1.0274418592453003
2018-04-11 10:46:27,110 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.9875789880752563
2018-04-11 10:46:29,396 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 1.038942813873291
2018-04-11 10:46:31,688 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 1.0416412353515625
2018-04-11 10:46:33,982 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.9804766774177551
2018-04-11 10:46:36,262 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 1.0146721601486206
2018-04-11 10:46:38,534 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 1.0493301153182983
2018-04-11 10:46:40,823 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.967802107334137
2018-04-11 10:46:43,104 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.9529455900192261
2018-04-11 10:46:45,388 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.9839621186256409
2018-04-11 10:46:47,693 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.9865477085113525
2018-04-11 10:46:49,986 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 1.02779221534729
2018-04-11 10:46:52,267 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 1.003139853477478
2018-04-11 10:46:54,559 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.9930607080459595
2018-04-11 10:46:56,845 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 1.0148752927780151
2018-04-11 10:46:59,132 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 1.0206239223480225
2018-04-11 10:47:01,411 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 1.0097956657409668
2018-04-11 10:47:03,705 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 1.006462812423706
2018-04-11 10:47:06,004 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 1.011196494102478
2018-04-11 10:47:08,306 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 1.0215052366256714
2018-04-11 10:47:10,599 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 0.9972146153450012
2018-04-11 10:47:12,896 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 0.9873363375663757
2018-04-11 10:47:15,184 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 1.016749620437622
2018-04-11 10:47:17,478 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 0.9637311697006226
2018-04-11 10:47:19,769 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 1.0314234495162964
2018-04-11 10:47:22,075 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 1.0424002408981323
2018-04-11 10:47:24,379 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 0.9663219451904297
2018-04-11 10:47:26,685 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 0.9930087327957153
2018-04-11 10:47:28,985 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 1.064520001411438
2018-04-11 10:47:31,295 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 1.0500341653823853
2018-04-11 10:47:33,595 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 1.0820239782333374
2018-04-11 10:47:35,893 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 1.0146948099136353
2018-04-11 10:47:38,200 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 1.0213267803192139
2018-04-11 10:47:40,513 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 1.0467275381088257
2018-04-11 10:47:42,823 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 1.0770982503890991
2018-04-11 10:47:45,117 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 1.083635687828064
2018-04-11 10:47:47,415 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 1.0618791580200195
2018-04-11 10:47:49,712 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 1.0709969997406006
2018-04-11 10:47:52,022 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 1.0531690120697021
2018-04-11 10:47:54,331 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 1.0612157583236694
2018-04-11 10:47:56,628 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 1.0445148944854736
2018-04-11 10:47:58,925 INFO Train Epoch 0, Batch 46000 - 47000: RMSE = 1.0415104627609253
2018-04-11 10:48:01,235 INFO Train Epoch 0, Batch 47000 - 48000: RMSE = 1.0162955522537231
2018-04-11 10:48:03,545 INFO Train Epoch 0, Batch 48000 - 49000: RMSE = 1.0368056297302246
2018-04-11 10:48:05,851 INFO Train Epoch 0, Batch 49000 - 50000: RMSE = 1.058760166168213
2018-04-11 10:48:08,146 INFO Train Epoch 0, Batch 50000 - 51000: RMSE = 1.0491571426391602
2018-04-11 10:48:10,446 INFO Train Epoch 0, Batch 51000 - 52000: RMSE = 1.0712426900863647
2018-04-11 10:48:12,763 INFO Train Epoch 0, Batch 52000 - 53000: RMSE = 1.035483717918396
2018-04-11 10:48:15,069 INFO Train Epoch 0, Batch 53000 - 54000: RMSE = 1.0631126165390015
2018-04-11 10:48:17,365 INFO Train Epoch 0, Batch 54000 - 55000: RMSE = 1.0389045476913452
2018-04-11 10:48:19,670 INFO Train Epoch 0, Batch 55000 - 56000: RMSE = 1.0311627388000488
2018-04-11 10:48:21,979 INFO Train Epoch 0, Batch 56000 - 57000: RMSE = 1.0778433084487915
2018-04-11 10:48:24,302 INFO Train Epoch 0, Batch 57000 - 58000: RMSE = 1.0539696216583252
2018-04-11 10:48:26,597 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 1.0793039798736572
2018-04-11 10:48:28,897 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 1.0910930633544922
2018-04-11 10:48:31,205 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 1.1167465448379517
2018-04-11 10:48:33,525 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 1.087293267250061
2018-04-11 10:48:35,824 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 1.113450050354004
2018-04-11 10:48:38,131 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 1.1367192268371582
2018-04-11 10:48:40,434 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 1.1362130641937256
2018-04-11 10:48:42,746 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 1.0864063501358032
2018-04-11 10:48:45,049 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 1.1164278984069824
2018-04-11 10:48:47,360 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 1.0965992212295532
2018-04-11 10:48:49,667 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 1.094899296760559
2018-04-11 10:48:51,977 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 1.1027411222457886
2018-04-11 10:48:54,302 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 1.1255005598068237
2018-04-11 10:48:56,604 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 1.0834611654281616
2018-04-11 10:48:58,903 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 1.1285717487335205
2018-04-11 10:49:01,208 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 1.1621685028076172
2018-04-11 10:49:03,537 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 1.117798924446106
2018-04-11 10:49:05,853 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 1.0923829078674316
2018-04-11 10:49:08,153 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 1.0464451313018799
2018-04-11 10:49:10,450 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 1.0414117574691772
2018-04-11 10:49:12,769 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 1.01031494140625
2018-04-11 10:49:15,079 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 1.035089135169983
2018-04-11 10:49:17,381 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 1.0284209251403809
2018-04-11 10:49:19,687 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 1.005523443222046
2018-04-11 10:49:22,002 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 1.0066567659378052
2018-04-11 10:49:24,323 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 1.0256096124649048
2018-04-11 10:49:26,629 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 1.0555295944213867
2018-04-11 10:49:28,933 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 1.05274498462677
2018-04-11 10:49:31,239 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 1.0242801904678345
2018-04-11 10:49:33,567 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 1.0418866872787476
2018-04-11 10:49:35,886 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 1.0160764455795288
2018-04-11 10:49:38,192 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 1.0496686697006226
2018-04-11 10:49:40,498 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 1.072776436805725
2018-04-11 10:49:42,818 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 1.0159392356872559
2018-04-11 10:49:45,136 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 1.0277032852172852
2018-04-11 10:49:47,451 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 1.0270766019821167
2018-04-11 10:49:49,770 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 1.046709418296814
2018-04-11 10:49:52,100 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 0.9840987920761108
2018-04-11 10:49:54,396 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 1.0151281356811523
2018-04-11 10:49:56,701 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 0.9984951615333557
2018-04-11 10:49:59,022 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 1.0070414543151855
2018-04-11 10:50:01,343 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 1.0112297534942627
2018-04-11 10:50:03,667 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 1.0320130586624146
2018-04-11 10:50:05,986 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 1.0198163986206055
2018-04-11 10:50:08,298 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 1.02214515209198
2018-04-11 10:50:10,620 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 0.9816612601280212
2018-04-11 10:50:12,938 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 1.0474894046783447
2018-04-11 10:50:15,256 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 1.0321015119552612
2018-04-11 10:50:17,575 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 1.0230196714401245
2018-04-11 10:50:19,881 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 0.9863213896751404
2018-04-11 10:50:22,184 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 1.0259736776351929
2018-04-11 10:50:24,490 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 1.0271493196487427
2018-04-11 10:50:26,814 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 1.0252031087875366
2018-04-11 10:50:29,132 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 1.0343403816223145
2018-04-11 10:50:31,449 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 1.0423568487167358
2018-04-11 10:50:33,760 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 1.0451452732086182
2018-04-11 10:50:36,075 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 1.0621490478515625
2018-04-11 10:50:38,395 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 1.0487560033798218
2018-04-11 10:50:40,704 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 1.0260953903198242
2018-04-11 10:50:43,040 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 1.0061808824539185
2018-04-11 10:50:45,352 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 1.0304392576217651
2018-04-11 10:50:47,665 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 1.0353339910507202
2018-04-11 10:50:49,974 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 1.0896353721618652
2018-04-11 10:50:52,296 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 1.0233831405639648
2018-04-11 10:50:53,840 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 1.0990660190582275
2018-04-11 10:50:58,713 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 1.0523752431256401
2018-04-11 10:51:01,066 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 1.0409048795700073
2018-04-11 10:51:03,399 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 1.0406310558319092
2018-04-11 10:51:05,711 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 1.0301088094711304
2018-04-11 10:51:08,023 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 1.0438575744628906
2018-04-11 10:51:10,346 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 1.0228867530822754
2018-04-11 10:51:12,649 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 1.0235400199890137
2018-04-11 10:51:14,948 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.9893078804016113
2018-04-11 10:51:17,255 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 1.0407007932662964
2018-04-11 10:51:19,583 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 1.0442110300064087
2018-04-11 10:51:21,886 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.9789199233055115
2018-04-11 10:51:24,193 INFO Train Epoch 1, Batch 10000 - 11000: RMSE = 1.0143097639083862
2018-04-11 10:51:26,495 INFO Train Epoch 1, Batch 11000 - 12000: RMSE = 1.0486451387405396
2018-04-11 10:51:28,815 INFO Train Epoch 1, Batch 12000 - 13000: RMSE = 0.9649143218994141
2018-04-11 10:51:31,134 INFO Train Epoch 1, Batch 13000 - 14000: RMSE = 0.9529874920845032
2018-04-11 10:51:33,444 INFO Train Epoch 1, Batch 14000 - 15000: RMSE = 0.9798300266265869
2018-04-11 10:51:35,749 INFO Train Epoch 1, Batch 15000 - 16000: RMSE = 0.98359215259552
2018-04-11 10:51:38,060 INFO Train Epoch 1, Batch 16000 - 17000: RMSE = 1.0186750888824463
2018-04-11 10:51:40,382 INFO Train Epoch 1, Batch 17000 - 18000: RMSE = 1.0004558563232422
2018-04-11 10:51:42,690 INFO Train Epoch 1, Batch 18000 - 19000: RMSE = 0.9834660291671753
2018-04-11 10:51:44,994 INFO Train Epoch 1, Batch 19000 - 20000: RMSE = 1.011773705482483
2018-04-11 10:51:47,296 INFO Train Epoch 1, Batch 20000 - 21000: RMSE = 1.0138598680496216
2018-04-11 10:51:49,610 INFO Train Epoch 1, Batch 21000 - 22000: RMSE = 1.004138708114624
2018-04-11 10:51:51,932 INFO Train Epoch 1, Batch 22000 - 23000: RMSE = 1.0057384967803955
2018-04-11 10:51:54,237 INFO Train Epoch 1, Batch 23000 - 24000: RMSE = 1.0091948509216309
2018-04-11 10:51:56,547 INFO Train Epoch 1, Batch 24000 - 25000: RMSE = 1.0223222970962524
2018-04-11 10:51:58,864 INFO Train Epoch 1, Batch 25000 - 26000: RMSE = 0.999447762966156
