2018-05-11 06:31:55,194 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_5/model_epoch24.ckpt
2018-05-11 06:32:00,777 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.9570769667625427
2018-05-11 06:32:01,419 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.9293704032897949
2018-05-11 06:32:02,022 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.8800283670425415
2018-05-11 06:32:02,616 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.9058940410614014
2018-05-11 06:32:03,207 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.8922017812728882
2018-05-11 06:32:03,798 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.9269304871559143
2018-05-11 06:32:04,386 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.8660489916801453
2018-05-11 06:32:04,976 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.9411053657531738
2018-05-11 06:32:05,569 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.8954149484634399
2018-05-11 06:32:06,157 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.8920718431472778
2018-05-11 06:32:06,747 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.8452884554862976
2018-05-11 06:32:07,339 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.9310586452484131
2018-05-11 06:32:07,930 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.8906646370887756
2018-05-11 06:32:08,521 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.869387686252594
2018-05-11 06:32:09,112 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.8768388032913208
2018-05-11 06:32:09,700 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 0.995743453502655
2018-05-11 06:32:10,291 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.8607727289199829
2018-05-11 06:32:10,878 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.8858633041381836
2018-05-11 06:32:11,465 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.9131602644920349
2018-05-11 06:32:12,055 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.8650587797164917
2018-05-11 06:32:12,642 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.9029383063316345
2018-05-11 06:32:13,233 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.840630829334259
2018-05-11 06:32:13,828 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.8509544730186462
2018-05-11 06:32:14,421 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.9295529723167419
2018-05-11 06:32:15,009 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.8742974996566772
2018-05-11 06:32:15,597 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.8824502229690552
2018-05-11 06:32:16,183 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.8167186975479126
2018-05-11 06:32:16,771 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.8865860104560852
2018-05-11 06:32:17,361 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.9253690242767334
2018-05-11 06:32:17,961 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.9067193269729614
2018-05-11 06:32:18,556 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.8693472743034363
2018-05-11 06:32:19,147 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.8753926157951355
2018-05-11 06:32:19,742 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.969771146774292
2018-05-11 06:32:20,335 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.8779550194740295
2018-05-11 06:32:20,927 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.8632015585899353
2018-05-11 06:32:21,515 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.7884032726287842
2018-05-11 06:32:22,101 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.9044284224510193
2018-05-11 06:32:22,688 INFO Train Epoch 0, Batch 9250 - 9500: RMSE = 0.8666969537734985
2018-05-11 06:32:23,282 INFO Train Epoch 0, Batch 9500 - 9750: RMSE = 0.862192690372467
2018-05-11 06:32:23,874 INFO Train Epoch 0, Batch 9750 - 10000: RMSE = 0.8252418041229248
2018-05-11 06:32:24,461 INFO Train Epoch 0, Batch 10000 - 10250: RMSE = 0.8168843388557434
2018-05-11 06:32:25,050 INFO Train Epoch 0, Batch 10250 - 10500: RMSE = 0.8979020118713379
2018-05-11 06:32:25,638 INFO Train Epoch 0, Batch 10500 - 10750: RMSE = 0.8745523691177368
2018-05-11 06:32:26,229 INFO Train Epoch 0, Batch 10750 - 11000: RMSE = 0.8965222835540771
