2018-04-09 14:22:53,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1/model_epoch49.ckpt
2018-04-09 14:23:12,045 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.8877115845680237
2018-04-09 14:23:23,330 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8813380002975464
2018-04-09 14:23:34,599 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.8712835907936096
2018-04-09 14:23:45,795 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8734035491943359
2018-04-09 14:23:57,097 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.8468022346496582
2018-04-09 14:24:08,397 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.8639410734176636
2018-04-09 14:24:19,663 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.8324817419052124
2018-04-09 14:24:30,781 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.8703035712242126
2018-04-09 14:24:42,101 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8728272914886475
2018-04-09 14:24:53,301 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8621744513511658
2018-04-09 14:25:04,494 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8550505638122559
2018-04-09 14:25:15,692 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.903450608253479
2018-04-09 14:25:26,935 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8377313613891602
2018-04-09 14:25:38,136 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8464300632476807
2018-04-09 14:25:49,333 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8587179780006409
2018-04-09 14:26:00,514 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8541997671127319
2018-04-09 14:26:11,810 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.8780027627944946
2018-04-09 14:26:23,029 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.8688470721244812
2018-04-09 14:26:34,174 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.8770153522491455
2018-04-09 14:26:45,325 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.8840413689613342
2018-04-09 14:26:56,691 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.8691080808639526
2018-04-09 14:27:09,998 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.8674888610839844
2018-04-09 14:27:21,731 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.8701956868171692
2018-04-09 14:27:32,929 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.881805419921875
2018-04-09 14:27:44,232 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 0.8588590025901794
2018-04-09 14:27:55,510 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 0.8600284457206726
2018-04-09 14:28:06,667 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 0.8808332085609436
2018-04-09 14:28:17,844 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 0.8639071583747864
2018-04-09 14:28:29,214 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 0.8532582521438599
2018-04-09 14:28:40,480 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 0.878032922744751
2018-04-09 14:28:51,703 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 0.9042313098907471
2018-04-09 14:29:02,850 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 0.8457779288291931
2018-04-09 14:29:14,062 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 0.8429840207099915
2018-04-09 14:29:25,099 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 0.892307698726654
2018-04-09 14:29:36,066 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 0.9017466306686401
2018-04-09 14:29:46,980 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 0.9263080954551697
2018-04-09 14:29:57,929 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 0.8745496869087219
2018-04-09 14:30:09,017 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 0.8901442289352417
2018-04-09 14:30:20,037 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 0.9068729877471924
2018-04-09 14:30:30,978 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 0.9270958304405212
2018-04-09 14:30:41,993 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 0.9238549470901489
2018-04-09 14:30:53,032 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 0.9103516936302185
2018-04-09 14:31:04,056 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 0.929011344909668
2018-04-09 14:31:15,030 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 0.9126164317131042
2018-04-09 14:31:26,092 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 0.9032202959060669
2018-04-09 14:31:37,078 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 0.8992586135864258
2018-04-09 14:31:48,135 INFO Train Epoch 0, Batch 46000 - 47000: RMSE = 0.9282539486885071
2018-04-09 14:31:59,121 INFO Train Epoch 0, Batch 47000 - 48000: RMSE = 0.8757650852203369
2018-04-09 14:32:10,036 INFO Train Epoch 0, Batch 48000 - 49000: RMSE = 0.8920174241065979
2018-04-09 14:32:21,028 INFO Train Epoch 0, Batch 49000 - 50000: RMSE = 0.9371829628944397
2018-04-09 14:32:32,123 INFO Train Epoch 0, Batch 50000 - 51000: RMSE = 0.9076712727546692
2018-04-09 14:32:43,160 INFO Train Epoch 0, Batch 51000 - 52000: RMSE = 0.9558570981025696
2018-04-09 14:32:54,092 INFO Train Epoch 0, Batch 52000 - 53000: RMSE = 0.9079055190086365
2018-04-09 14:33:05,134 INFO Train Epoch 0, Batch 53000 - 54000: RMSE = 0.9475330114364624
2018-04-09 14:33:16,071 INFO Train Epoch 0, Batch 54000 - 55000: RMSE = 0.8926514387130737
2018-04-09 14:33:27,270 INFO Train Epoch 0, Batch 55000 - 56000: RMSE = 0.9024633765220642
2018-04-09 14:33:38,314 INFO Train Epoch 0, Batch 56000 - 57000: RMSE = 0.9337809681892395
2018-04-09 14:33:49,342 INFO Train Epoch 0, Batch 57000 - 58000: RMSE = 0.9209845066070557
2018-04-09 14:34:00,275 INFO Train Epoch 0, Batch 58000 - 59000: RMSE = 0.9297821521759033
2018-04-09 14:34:11,104 INFO Train Epoch 0, Batch 59000 - 60000: RMSE = 0.9229944348335266
2018-04-09 14:34:21,781 INFO Train Epoch 0, Batch 60000 - 61000: RMSE = 0.9796538949012756
2018-04-09 14:34:32,555 INFO Train Epoch 0, Batch 61000 - 62000: RMSE = 0.9434760212898254
2018-04-09 14:34:43,252 INFO Train Epoch 0, Batch 62000 - 63000: RMSE = 0.9807608723640442
2018-04-09 14:34:53,905 INFO Train Epoch 0, Batch 63000 - 64000: RMSE = 0.9715579152107239
2018-04-09 14:35:04,775 INFO Train Epoch 0, Batch 64000 - 65000: RMSE = 0.9922215342521667
2018-04-09 14:35:15,540 INFO Train Epoch 0, Batch 65000 - 66000: RMSE = 0.9650270938873291
2018-04-09 14:35:26,218 INFO Train Epoch 0, Batch 66000 - 67000: RMSE = 0.9481911659240723
2018-04-09 14:35:36,847 INFO Train Epoch 0, Batch 67000 - 68000: RMSE = 0.9778224229812622
2018-04-09 14:35:47,604 INFO Train Epoch 0, Batch 68000 - 69000: RMSE = 0.9257819056510925
2018-04-09 14:35:58,289 INFO Train Epoch 0, Batch 69000 - 70000: RMSE = 0.9828173518180847
2018-04-09 14:36:08,946 INFO Train Epoch 0, Batch 70000 - 71000: RMSE = 0.966838538646698
2018-04-09 14:36:19,620 INFO Train Epoch 0, Batch 71000 - 72000: RMSE = 0.9505951404571533
2018-04-09 14:36:30,370 INFO Train Epoch 0, Batch 72000 - 73000: RMSE = 0.9746814966201782
2018-04-09 14:36:41,194 INFO Train Epoch 0, Batch 73000 - 74000: RMSE = 0.964305579662323
2018-04-09 14:36:51,794 INFO Train Epoch 0, Batch 74000 - 75000: RMSE = 0.9908471703529358
2018-04-09 14:37:02,519 INFO Train Epoch 0, Batch 75000 - 76000: RMSE = 0.9377634525299072
2018-04-09 14:37:13,366 INFO Train Epoch 0, Batch 76000 - 77000: RMSE = 0.9240957498550415
2018-04-09 14:37:24,369 INFO Train Epoch 0, Batch 77000 - 78000: RMSE = 0.8834148645401001
2018-04-09 14:37:35,347 INFO Train Epoch 0, Batch 78000 - 79000: RMSE = 0.8797901272773743
2018-04-09 14:37:46,325 INFO Train Epoch 0, Batch 79000 - 80000: RMSE = 0.9044746160507202
2018-04-09 14:37:57,336 INFO Train Epoch 0, Batch 80000 - 81000: RMSE = 0.8930773138999939
2018-04-09 14:38:08,358 INFO Train Epoch 0, Batch 81000 - 82000: RMSE = 0.8713586330413818
2018-04-09 14:38:19,422 INFO Train Epoch 0, Batch 82000 - 83000: RMSE = 0.871113121509552
2018-04-09 14:38:30,445 INFO Train Epoch 0, Batch 83000 - 84000: RMSE = 0.8538324236869812
2018-04-09 14:38:41,449 INFO Train Epoch 0, Batch 84000 - 85000: RMSE = 0.8878993988037109
2018-04-09 14:38:52,425 INFO Train Epoch 0, Batch 85000 - 86000: RMSE = 0.8939884901046753
2018-04-09 14:39:03,529 INFO Train Epoch 0, Batch 86000 - 87000: RMSE = 0.88274747133255
2018-04-09 14:39:14,526 INFO Train Epoch 0, Batch 87000 - 88000: RMSE = 0.8872660994529724
2018-04-09 14:39:25,454 INFO Train Epoch 0, Batch 88000 - 89000: RMSE = 0.8831101059913635
2018-04-09 14:39:36,437 INFO Train Epoch 0, Batch 89000 - 90000: RMSE = 0.8816086053848267
2018-04-09 14:39:47,388 INFO Train Epoch 0, Batch 90000 - 91000: RMSE = 0.902260422706604
2018-04-09 14:39:58,423 INFO Train Epoch 0, Batch 91000 - 92000: RMSE = 0.8742780685424805
2018-04-09 14:40:09,378 INFO Train Epoch 0, Batch 92000 - 93000: RMSE = 0.897095263004303
2018-04-09 14:40:20,311 INFO Train Epoch 0, Batch 93000 - 94000: RMSE = 0.8830232620239258
2018-04-09 14:40:31,255 INFO Train Epoch 0, Batch 94000 - 95000: RMSE = 0.9270302653312683
2018-04-09 14:40:42,390 INFO Train Epoch 0, Batch 95000 - 96000: RMSE = 0.8524584770202637
2018-04-09 14:40:53,394 INFO Train Epoch 0, Batch 96000 - 97000: RMSE = 0.9166151881217957
2018-04-09 14:41:04,347 INFO Train Epoch 0, Batch 97000 - 98000: RMSE = 0.8576020002365112
2018-04-09 14:41:15,328 INFO Train Epoch 0, Batch 98000 - 99000: RMSE = 0.8810791969299316
2018-04-09 14:41:26,298 INFO Train Epoch 0, Batch 99000 - 100000: RMSE = 0.9037859439849854
2018-04-09 14:41:37,397 INFO Train Epoch 0, Batch 100000 - 101000: RMSE = 0.8965081572532654
2018-04-09 14:41:48,322 INFO Train Epoch 0, Batch 101000 - 102000: RMSE = 0.8788080215454102
2018-04-09 14:41:59,331 INFO Train Epoch 0, Batch 102000 - 103000: RMSE = 0.8652867078781128
2018-04-09 14:42:10,267 INFO Train Epoch 0, Batch 103000 - 104000: RMSE = 0.8597039580345154
2018-04-09 14:42:21,233 INFO Train Epoch 0, Batch 104000 - 105000: RMSE = 0.8871288299560547
2018-04-09 14:42:32,225 INFO Train Epoch 0, Batch 105000 - 106000: RMSE = 0.8964040875434875
2018-04-09 14:42:43,163 INFO Train Epoch 0, Batch 106000 - 107000: RMSE = 0.8492202758789062
2018-04-09 14:42:54,093 INFO Train Epoch 0, Batch 107000 - 108000: RMSE = 0.9263601899147034
2018-04-09 14:43:04,993 INFO Train Epoch 0, Batch 108000 - 109000: RMSE = 0.8857147097587585
2018-04-09 14:43:16,010 INFO Train Epoch 0, Batch 109000 - 110000: RMSE = 0.9086506962776184
2018-04-09 14:43:26,796 INFO Train Epoch 0, Batch 110000 - 111000: RMSE = 0.8587139248847961
2018-04-09 14:43:37,682 INFO Train Epoch 0, Batch 111000 - 112000: RMSE = 0.9484339952468872
2018-04-09 14:43:48,429 INFO Train Epoch 0, Batch 112000 - 113000: RMSE = 0.8681314587593079
2018-04-09 14:43:59,277 INFO Train Epoch 0, Batch 113000 - 114000: RMSE = 0.9170727133750916
2018-04-09 14:44:10,133 INFO Train Epoch 0, Batch 114000 - 115000: RMSE = 0.9229298830032349
2018-04-09 14:44:20,897 INFO Train Epoch 0, Batch 115000 - 116000: RMSE = 0.8949499130249023
2018-04-09 14:44:31,675 INFO Train Epoch 0, Batch 116000 - 117000: RMSE = 0.9408295154571533
2018-04-09 14:44:42,495 INFO Train Epoch 0, Batch 117000 - 118000: RMSE = 0.8538953065872192
2018-04-09 14:44:53,447 INFO Train Epoch 0, Batch 118000 - 119000: RMSE = 0.9017733335494995
2018-04-09 14:45:04,269 INFO Train Epoch 0, Batch 119000 - 120000: RMSE = 0.8719210028648376
2018-04-09 14:45:14,982 INFO Train Epoch 0, Batch 120000 - 121000: RMSE = 0.9074090123176575
2018-04-09 14:45:25,773 INFO Train Epoch 0, Batch 121000 - 122000: RMSE = 0.8945269584655762
2018-04-09 14:45:30,522 INFO Train Epoch 0, Batch 122000 - 122358: RMSE = 0.9091315865516663
2018-04-09 14:45:39,585 INFO Eval Epoch 0, Batch 0 - 1000: RMSE = 0.9102420158088452
2018-04-09 14:45:50,816 INFO Train Epoch 1, Batch 0 - 1000: RMSE = 0.892493486404419
2018-04-09 14:46:02,025 INFO Train Epoch 1, Batch 1000 - 2000: RMSE = 0.8896986246109009
2018-04-09 14:46:13,273 INFO Train Epoch 1, Batch 2000 - 3000: RMSE = 0.8693458437919617
2018-04-09 14:46:24,556 INFO Train Epoch 1, Batch 3000 - 4000: RMSE = 0.8765069842338562
2018-04-09 14:46:35,796 INFO Train Epoch 1, Batch 4000 - 5000: RMSE = 0.8419011235237122
2018-04-09 14:46:47,073 INFO Train Epoch 1, Batch 5000 - 6000: RMSE = 0.8734044432640076
2018-04-09 14:46:58,347 INFO Train Epoch 1, Batch 6000 - 7000: RMSE = 0.8280318975448608
2018-04-09 14:47:09,607 INFO Train Epoch 1, Batch 7000 - 8000: RMSE = 0.8796390891075134
2018-04-09 14:47:20,814 INFO Train Epoch 1, Batch 8000 - 9000: RMSE = 0.8724619150161743
2018-04-09 14:47:32,020 INFO Train Epoch 1, Batch 9000 - 10000: RMSE = 0.8792244791984558
