2018-05-16 07:39:12,509 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_4/model_epoch24.ckpt
2018-05-16 07:39:17,280 INFO Train Epoch 0, Batch 0 - 250: RMSE = 0.8706563115119934
2018-05-16 07:39:20,025 INFO Train Epoch 0, Batch 250 - 500: RMSE = 0.81122887134552
2018-05-16 07:39:22,741 INFO Train Epoch 0, Batch 500 - 750: RMSE = 0.8182248473167419
2018-05-16 07:39:25,481 INFO Train Epoch 0, Batch 750 - 1000: RMSE = 0.7914128303527832
2018-05-16 07:39:28,230 INFO Train Epoch 0, Batch 1000 - 1250: RMSE = 0.8216512799263
2018-05-16 07:39:31,004 INFO Train Epoch 0, Batch 1250 - 1500: RMSE = 0.8226020932197571
2018-05-16 07:39:33,752 INFO Train Epoch 0, Batch 1500 - 1750: RMSE = 0.8345006704330444
2018-05-16 07:39:36,483 INFO Train Epoch 0, Batch 1750 - 2000: RMSE = 0.8489734530448914
2018-05-16 07:39:39,217 INFO Train Epoch 0, Batch 2000 - 2250: RMSE = 0.8330346941947937
2018-05-16 07:39:41,958 INFO Train Epoch 0, Batch 2250 - 2500: RMSE = 0.840377688407898
2018-05-16 07:39:44,708 INFO Train Epoch 0, Batch 2500 - 2750: RMSE = 0.7696987390518188
2018-05-16 07:39:47,474 INFO Train Epoch 0, Batch 2750 - 3000: RMSE = 0.8335685133934021
2018-05-16 07:39:50,189 INFO Train Epoch 0, Batch 3000 - 3250: RMSE = 0.7805805206298828
2018-05-16 07:39:52,922 INFO Train Epoch 0, Batch 3250 - 3500: RMSE = 0.7871987819671631
2018-05-16 07:39:55,679 INFO Train Epoch 0, Batch 3500 - 3750: RMSE = 0.7999370098114014
2018-05-16 07:39:58,427 INFO Train Epoch 0, Batch 3750 - 4000: RMSE = 0.8930898904800415
2018-05-16 07:40:01,202 INFO Train Epoch 0, Batch 4000 - 4250: RMSE = 0.7926888465881348
2018-05-16 07:40:03,942 INFO Train Epoch 0, Batch 4250 - 4500: RMSE = 0.7881892323493958
2018-05-16 07:40:06,677 INFO Train Epoch 0, Batch 4500 - 4750: RMSE = 0.837167501449585
2018-05-16 07:40:09,423 INFO Train Epoch 0, Batch 4750 - 5000: RMSE = 0.7884987592697144
2018-05-16 07:40:12,171 INFO Train Epoch 0, Batch 5000 - 5250: RMSE = 0.7825082540512085
2018-05-16 07:40:14,923 INFO Train Epoch 0, Batch 5250 - 5500: RMSE = 0.8379442691802979
2018-05-16 07:40:17,689 INFO Train Epoch 0, Batch 5500 - 5750: RMSE = 0.7791572213172913
2018-05-16 07:40:20,442 INFO Train Epoch 0, Batch 5750 - 6000: RMSE = 0.8364180326461792
2018-05-16 07:40:23,191 INFO Train Epoch 0, Batch 6000 - 6250: RMSE = 0.8000847101211548
2018-05-16 07:40:25,960 INFO Train Epoch 0, Batch 6250 - 6500: RMSE = 0.8393588662147522
2018-05-16 07:40:28,710 INFO Train Epoch 0, Batch 6500 - 6750: RMSE = 0.7023997902870178
2018-05-16 07:40:31,444 INFO Train Epoch 0, Batch 6750 - 7000: RMSE = 0.8035911321640015
2018-05-16 07:40:34,179 INFO Train Epoch 0, Batch 7000 - 7250: RMSE = 0.8468896150588989
2018-05-16 07:40:36,896 INFO Train Epoch 0, Batch 7250 - 7500: RMSE = 0.8265210390090942
2018-05-16 07:40:39,631 INFO Train Epoch 0, Batch 7500 - 7750: RMSE = 0.7948911786079407
2018-05-16 07:40:42,326 INFO Train Epoch 0, Batch 7750 - 8000: RMSE = 0.7723318338394165
2018-05-16 07:40:45,055 INFO Train Epoch 0, Batch 8000 - 8250: RMSE = 0.9066773056983948
2018-05-16 07:40:47,817 INFO Train Epoch 0, Batch 8250 - 8500: RMSE = 0.7795643210411072
2018-05-16 07:40:50,500 INFO Train Epoch 0, Batch 8500 - 8750: RMSE = 0.7731627225875854
2018-05-16 07:40:53,233 INFO Train Epoch 0, Batch 8750 - 9000: RMSE = 0.7580804228782654
2018-05-16 07:40:55,976 INFO Train Epoch 0, Batch 9000 - 9250: RMSE = 0.8568940162658691
2018-05-16 07:40:58,696 INFO Train Epoch 0, Batch 9250 - 9500: RMSE = 0.8237341046333313
2018-05-16 07:41:01,449 INFO Train Epoch 0, Batch 9500 - 9750: RMSE = 0.8067274689674377
2018-05-16 07:41:04,194 INFO Train Epoch 0, Batch 9750 - 10000: RMSE = 0.7450941205024719
2018-05-16 07:41:06,971 INFO Train Epoch 0, Batch 10000 - 10250: RMSE = 0.804130494594574
2018-05-16 07:41:09,734 INFO Train Epoch 0, Batch 10250 - 10500: RMSE = 0.7816712260246277
2018-05-16 07:41:12,471 INFO Train Epoch 0, Batch 10500 - 10750: RMSE = 0.8127112984657288
2018-05-16 07:41:15,189 INFO Train Epoch 0, Batch 10750 - 11000: RMSE = 0.8295929431915283
2018-05-16 07:41:17,916 INFO Train Epoch 0, Batch 11000 - 11250: RMSE = 0.8208374977111816
2018-05-16 07:41:20,628 INFO Train Epoch 0, Batch 11250 - 11500: RMSE = 0.8747748136520386
2018-05-16 07:41:23,393 INFO Train Epoch 0, Batch 11500 - 11750: RMSE = 0.8555489778518677
2018-05-16 07:41:26,136 INFO Train Epoch 0, Batch 11750 - 12000: RMSE = 0.8198510408401489
2018-05-16 07:41:28,854 INFO Train Epoch 0, Batch 12000 - 12250: RMSE = 0.7629740238189697
2018-05-16 07:41:31,561 INFO Train Epoch 0, Batch 12250 - 12500: RMSE = 0.8199118375778198
2018-05-16 07:41:34,305 INFO Train Epoch 0, Batch 12500 - 12750: RMSE = 0.7568770051002502
2018-05-16 07:41:37,022 INFO Train Epoch 0, Batch 12750 - 13000: RMSE = 0.791718602180481
2018-05-16 07:41:39,749 INFO Train Epoch 0, Batch 13000 - 13250: RMSE = 0.7814112305641174
2018-05-16 07:41:42,486 INFO Train Epoch 0, Batch 13250 - 13500: RMSE = 0.7917022705078125
2018-05-16 07:41:45,212 INFO Train Epoch 0, Batch 13500 - 13750: RMSE = 0.7661721110343933
2018-05-16 07:41:47,968 INFO Train Epoch 0, Batch 13750 - 14000: RMSE = 0.8099124431610107
2018-05-16 07:41:50,718 INFO Train Epoch 0, Batch 14000 - 14250: RMSE = 0.8092612028121948
2018-05-16 07:41:53,480 INFO Train Epoch 0, Batch 14250 - 14500: RMSE = 0.8318885564804077
2018-05-16 07:41:56,208 INFO Train Epoch 0, Batch 14500 - 14750: RMSE = 0.8023844361305237
2018-05-16 07:41:58,958 INFO Train Epoch 0, Batch 14750 - 15000: RMSE = 0.7632766962051392
2018-05-16 07:42:01,692 INFO Train Epoch 0, Batch 15000 - 15250: RMSE = 0.7604787349700928
2018-05-16 07:42:04,430 INFO Train Epoch 0, Batch 15250 - 15500: RMSE = 0.7851004600524902
2018-05-16 07:42:07,187 INFO Train Epoch 0, Batch 15500 - 15750: RMSE = 0.8150107264518738
2018-05-16 07:42:09,943 INFO Train Epoch 0, Batch 15750 - 16000: RMSE = 0.8518493175506592
2018-05-16 07:42:12,694 INFO Train Epoch 0, Batch 16000 - 16250: RMSE = 0.8061232566833496
2018-05-16 07:42:15,437 INFO Train Epoch 0, Batch 16250 - 16500: RMSE = 0.7801154255867004
2018-05-16 07:42:18,162 INFO Train Epoch 0, Batch 16500 - 16750: RMSE = 0.8242498636245728
2018-05-16 07:42:20,874 INFO Train Epoch 0, Batch 16750 - 17000: RMSE = 0.8323251008987427
2018-05-16 07:42:23,605 INFO Train Epoch 0, Batch 17000 - 17250: RMSE = 0.8257847428321838
2018-05-16 07:42:26,317 INFO Train Epoch 0, Batch 17250 - 17500: RMSE = 0.8310783505439758
2018-05-16 07:42:29,053 INFO Train Epoch 0, Batch 17500 - 17750: RMSE = 0.8219009637832642
2018-05-16 07:42:31,784 INFO Train Epoch 0, Batch 17750 - 18000: RMSE = 0.8082466125488281
2018-05-16 07:42:34,507 INFO Train Epoch 0, Batch 18000 - 18250: RMSE = 0.8454016447067261
2018-05-16 07:42:37,243 INFO Train Epoch 0, Batch 18250 - 18500: RMSE = 0.8279500603675842
2018-05-16 07:42:39,933 INFO Train Epoch 0, Batch 18500 - 18750: RMSE = 0.727560818195343
2018-05-16 07:42:42,676 INFO Train Epoch 0, Batch 18750 - 19000: RMSE = 0.877158522605896
2018-05-16 07:42:45,397 INFO Train Epoch 0, Batch 19000 - 19250: RMSE = 0.8440316319465637
2018-05-16 07:42:48,119 INFO Train Epoch 0, Batch 19250 - 19500: RMSE = 0.8466334342956543
2018-05-16 07:42:50,834 INFO Train Epoch 0, Batch 19500 - 19750: RMSE = 0.7942821383476257
2018-05-16 07:42:53,564 INFO Train Epoch 0, Batch 19750 - 20000: RMSE = 0.7991689443588257
2018-05-16 07:42:56,321 INFO Train Epoch 0, Batch 20000 - 20250: RMSE = 0.7903686761856079
2018-05-16 07:42:59,059 INFO Train Epoch 0, Batch 20250 - 20500: RMSE = 0.8649588823318481
2018-05-16 07:43:01,814 INFO Train Epoch 0, Batch 20500 - 20750: RMSE = 0.8770411610603333
2018-05-16 07:43:04,562 INFO Train Epoch 0, Batch 20750 - 21000: RMSE = 0.7016721367835999
2018-05-16 07:43:07,331 INFO Train Epoch 0, Batch 21000 - 21250: RMSE = 0.8008006811141968
2018-05-16 07:43:10,060 INFO Train Epoch 0, Batch 21250 - 21500: RMSE = 0.7727401256561279
2018-05-16 07:43:12,810 INFO Train Epoch 0, Batch 21500 - 21750: RMSE = 0.8901040554046631
2018-05-16 07:43:15,548 INFO Train Epoch 0, Batch 21750 - 22000: RMSE = 0.7820095419883728
2018-05-16 07:43:18,284 INFO Train Epoch 0, Batch 22000 - 22250: RMSE = 0.8201492428779602
2018-05-16 07:43:21,002 INFO Train Epoch 0, Batch 22250 - 22500: RMSE = 0.8419062495231628
2018-05-16 07:43:23,740 INFO Train Epoch 0, Batch 22500 - 22750: RMSE = 0.8201214671134949
2018-05-16 07:43:26,460 INFO Train Epoch 0, Batch 22750 - 23000: RMSE = 0.7636692523956299
2018-05-16 07:43:29,179 INFO Train Epoch 0, Batch 23000 - 23250: RMSE = 0.7462014555931091
2018-05-16 07:43:31,897 INFO Train Epoch 0, Batch 23250 - 23500: RMSE = 0.8551585078239441
2018-05-16 07:43:34,664 INFO Train Epoch 0, Batch 23500 - 23750: RMSE = 0.8544705510139465
2018-05-16 07:43:37,386 INFO Train Epoch 0, Batch 23750 - 24000: RMSE = 0.8458142876625061
2018-05-16 07:43:40,147 INFO Train Epoch 0, Batch 24000 - 24250: RMSE = 0.8403807282447815
2018-05-16 07:43:42,862 INFO Train Epoch 0, Batch 24250 - 24500: RMSE = 0.7479959726333618
2018-05-16 07:43:45,593 INFO Train Epoch 0, Batch 24500 - 24750: RMSE = 0.8084210157394409
2018-05-16 07:43:48,316 INFO Train Epoch 0, Batch 24750 - 25000: RMSE = 0.8395324945449829
2018-05-16 07:43:51,071 INFO Train Epoch 0, Batch 25000 - 25250: RMSE = 0.8358336091041565
2018-05-16 07:43:53,817 INFO Train Epoch 0, Batch 25250 - 25500: RMSE = 0.7544459104537964
2018-05-16 07:43:56,571 INFO Train Epoch 0, Batch 25500 - 25750: RMSE = 0.8016584515571594
2018-05-16 07:43:59,324 INFO Train Epoch 0, Batch 25750 - 26000: RMSE = 0.803062379360199
2018-05-16 07:44:02,086 INFO Train Epoch 0, Batch 26000 - 26250: RMSE = 0.8023066520690918
2018-05-16 07:44:04,818 INFO Train Epoch 0, Batch 26250 - 26500: RMSE = 0.8255143761634827
2018-05-16 07:44:07,548 INFO Train Epoch 0, Batch 26500 - 26750: RMSE = 0.8032792806625366
2018-05-16 07:44:10,264 INFO Train Epoch 0, Batch 26750 - 27000: RMSE = 0.8730027079582214
2018-05-16 07:44:13,029 INFO Train Epoch 0, Batch 27000 - 27250: RMSE = 0.8017061948776245
2018-05-16 07:44:15,757 INFO Train Epoch 0, Batch 27250 - 27500: RMSE = 0.8227418661117554
2018-05-16 07:44:18,492 INFO Train Epoch 0, Batch 27500 - 27750: RMSE = 0.7844777703285217
2018-05-16 07:44:21,193 INFO Train Epoch 0, Batch 27750 - 28000: RMSE = 0.8277082443237305
2018-05-16 07:44:23,935 INFO Train Epoch 0, Batch 28000 - 28250: RMSE = 0.824306845664978
2018-05-16 07:44:26,704 INFO Train Epoch 0, Batch 28250 - 28500: RMSE = 0.7849583625793457
2018-05-16 07:44:29,441 INFO Train Epoch 0, Batch 28500 - 28750: RMSE = 0.8216090798377991
