2018-04-06 12:10:44,080 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1/model_epoch49.ckpt
2018-04-06 12:11:01,496 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.9537821412086487
2018-04-06 12:11:12,007 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 1.3110997676849365
2018-04-06 12:11:22,509 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 3.441657543182373
2018-04-06 12:11:32,981 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 1.373910903930664
2018-04-06 12:11:43,489 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 4.738066673278809
2018-04-06 12:11:54,115 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 23.11434555053711
2018-04-06 12:12:04,653 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 4.839123249053955
2018-04-06 12:12:15,065 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 3.044522762298584
2018-04-06 12:12:25,484 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 1.4213013648986816
2018-04-06 12:12:36,077 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 5.365793228149414
2018-04-06 12:12:46,537 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 7.106295585632324
2018-04-06 12:12:57,001 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 1.7085000276565552
2018-04-06 12:13:07,391 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 1.9835156202316284
2018-04-06 12:13:17,800 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 3.511120080947876
2018-04-06 12:13:28,335 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 3.5686087608337402
2018-04-06 12:13:38,816 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 1.8875938653945923
2018-04-06 12:13:49,240 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 4.9805450439453125
2018-04-06 12:13:59,665 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 1.4620712995529175
2018-04-06 12:14:10,112 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 3.3423304557800293
2018-04-06 12:14:20,486 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 2.553039312362671
2018-04-06 12:14:30,941 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 1.447055697441101
2018-04-06 12:14:41,339 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 1.9610939025878906
2018-04-06 12:14:51,739 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 2.0060195922851562
2018-04-06 12:15:02,274 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 1.7815062999725342
2018-04-06 12:15:12,721 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 1.5148695707321167
2018-04-06 12:15:23,214 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 1.6408991813659668
2018-04-06 12:15:33,625 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 1.4798108339309692
2018-04-06 12:15:44,116 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 1.4689552783966064
2018-04-06 12:15:54,555 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 1.4685715436935425
2018-04-06 12:16:05,070 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 1.6393046379089355
2018-04-06 12:16:15,530 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 1.5138715505599976
2018-04-06 12:16:25,931 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 1.4420908689498901
2018-04-06 12:16:36,326 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 1.4549537897109985
2018-04-06 12:16:46,591 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 1.4810113906860352
2018-04-06 12:16:56,819 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 1.5120981931686401
2018-04-06 12:17:07,032 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 1.4574086666107178
2018-04-06 12:17:17,364 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 1.4461376667022705
2018-04-06 12:17:27,613 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 1.4328501224517822
2018-04-06 12:17:37,895 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 1.4164948463439941
2018-04-06 12:17:48,095 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 1.4881136417388916
2018-04-06 12:17:58,317 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 1.4111499786376953
2018-04-06 12:18:08,538 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 1.4589405059814453
2018-04-06 12:18:18,779 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 1.4464857578277588
2018-04-06 12:18:29,032 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 1.4249231815338135
2018-04-06 12:18:39,326 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 1.4467110633850098
2018-04-06 12:18:49,666 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 1.404725193977356
2018-04-06 12:24:14,933 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1/model_epoch49.ckpt
2018-04-06 12:24:32,378 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.9049636721611023
2018-04-06 12:24:42,827 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8828789591789246
2018-04-06 12:24:53,309 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.8810930252075195
2018-04-06 12:25:03,752 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8875360488891602
2018-04-06 12:25:14,233 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.8530145883560181
2018-04-06 12:25:24,830 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.861056923866272
2018-04-06 12:25:35,336 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.8462286591529846
2018-04-06 12:25:45,730 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.8829675316810608
2018-04-06 12:25:56,161 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8826605081558228
2018-04-06 12:26:06,732 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8662219047546387
2018-04-06 12:26:17,208 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8635188341140747
2018-04-06 12:26:27,667 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.9067445993423462
2018-04-06 12:26:38,077 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8446925282478333
2018-04-06 12:26:48,548 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.8556644320487976
2018-04-06 12:26:59,140 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8648352026939392
2018-04-06 12:27:09,648 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8613592386245728
2018-04-06 12:27:20,052 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.8640055060386658
2018-04-06 12:27:30,499 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.8704563975334167
2018-04-06 12:27:41,029 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.8994808793067932
2018-04-06 12:27:51,466 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.8891003727912903
2018-04-06 12:28:01,968 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.8887492418289185
2018-04-06 12:28:12,398 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.8764983415603638
2018-04-06 12:28:22,824 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.870503306388855
2018-04-06 12:28:33,375 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.8705744743347168
2018-04-06 12:28:43,799 INFO Train Epoch 0, Batch 24000 - 25000: RMSE = 0.8792271614074707
2018-04-06 12:28:54,301 INFO Train Epoch 0, Batch 25000 - 26000: RMSE = 0.8745409846305847
2018-04-06 12:29:04,762 INFO Train Epoch 0, Batch 26000 - 27000: RMSE = 0.8944390416145325
2018-04-06 12:29:15,253 INFO Train Epoch 0, Batch 27000 - 28000: RMSE = 0.8869733214378357
2018-04-06 12:29:25,753 INFO Train Epoch 0, Batch 28000 - 29000: RMSE = 0.8439609408378601
2018-04-06 12:29:36,252 INFO Train Epoch 0, Batch 29000 - 30000: RMSE = 0.8704619407653809
2018-04-06 12:29:46,731 INFO Train Epoch 0, Batch 30000 - 31000: RMSE = 0.917475163936615
2018-04-06 12:29:57,141 INFO Train Epoch 0, Batch 31000 - 32000: RMSE = 0.8532484173774719
2018-04-06 12:30:07,611 INFO Train Epoch 0, Batch 32000 - 33000: RMSE = 0.8446984887123108
2018-04-06 12:30:17,880 INFO Train Epoch 0, Batch 33000 - 34000: RMSE = 0.8986480832099915
2018-04-06 12:30:28,113 INFO Train Epoch 0, Batch 34000 - 35000: RMSE = 0.9247903823852539
2018-04-06 12:30:38,342 INFO Train Epoch 0, Batch 35000 - 36000: RMSE = 0.9218971133232117
2018-04-06 12:30:48,652 INFO Train Epoch 0, Batch 36000 - 37000: RMSE = 0.8853421807289124
2018-04-06 12:30:58,919 INFO Train Epoch 0, Batch 37000 - 38000: RMSE = 0.8984526991844177
2018-04-06 12:31:09,233 INFO Train Epoch 0, Batch 38000 - 39000: RMSE = 0.9216980934143066
2018-04-06 12:31:19,474 INFO Train Epoch 0, Batch 39000 - 40000: RMSE = 0.9315750002861023
2018-04-06 12:31:29,758 INFO Train Epoch 0, Batch 40000 - 41000: RMSE = 0.9157206416130066
2018-04-06 12:31:40,083 INFO Train Epoch 0, Batch 41000 - 42000: RMSE = 0.929764449596405
2018-04-06 12:31:50,372 INFO Train Epoch 0, Batch 42000 - 43000: RMSE = 0.932593047618866
2018-04-06 12:32:00,644 INFO Train Epoch 0, Batch 43000 - 44000: RMSE = 0.9245128631591797
2018-04-06 12:32:10,983 INFO Train Epoch 0, Batch 44000 - 45000: RMSE = 0.9235919117927551
2018-04-06 12:32:21,372 INFO Train Epoch 0, Batch 45000 - 46000: RMSE = 0.9228983521461487
2018-04-06 12:32:31,547 INFO Train Epoch 0, Batch 46000 - 47000: RMSE = 0.9602488875389099
2018-04-06 12:32:41,764 INFO Train Epoch 0, Batch 47000 - 48000: RMSE = 0.9033098220825195
2018-04-06 12:32:51,965 INFO Train Epoch 0, Batch 48000 - 49000: RMSE = 0.9124401807785034
2018-04-06 12:33:02,228 INFO Train Epoch 0, Batch 49000 - 50000: RMSE = 0.9433727264404297
2018-04-06 12:33:12,587 INFO Train Epoch 0, Batch 50000 - 51000: RMSE = 0.9242172837257385
