2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 11:28:38,975 INFO Train Epoch 0, Batch 0 - 1000: RMSE = 0.882379949092865
2018-05-08 11:28:49,469 INFO Train Epoch 0, Batch 1000 - 2000: RMSE = 0.8626486659049988
2018-05-08 11:28:59,921 INFO Train Epoch 0, Batch 2000 - 3000: RMSE = 0.8652740120887756
2018-05-08 11:29:10,462 INFO Train Epoch 0, Batch 3000 - 4000: RMSE = 0.8725414872169495
2018-05-08 11:29:20,897 INFO Train Epoch 0, Batch 4000 - 5000: RMSE = 0.8217023611068726
2018-05-08 11:29:31,484 INFO Train Epoch 0, Batch 5000 - 6000: RMSE = 0.8380060195922852
2018-05-08 11:29:41,948 INFO Train Epoch 0, Batch 6000 - 7000: RMSE = 0.8210248351097107
2018-05-08 11:29:52,291 INFO Train Epoch 0, Batch 7000 - 8000: RMSE = 0.8527736067771912
2018-05-08 11:30:02,713 INFO Train Epoch 0, Batch 8000 - 9000: RMSE = 0.8459226489067078
2018-05-08 11:30:13,233 INFO Train Epoch 0, Batch 9000 - 10000: RMSE = 0.8493263721466064
2018-05-08 11:30:23,714 INFO Train Epoch 0, Batch 10000 - 11000: RMSE = 0.8317174911499023
2018-05-08 11:30:34,100 INFO Train Epoch 0, Batch 11000 - 12000: RMSE = 0.8647785186767578
2018-05-08 11:30:44,447 INFO Train Epoch 0, Batch 12000 - 13000: RMSE = 0.8009719252586365
2018-05-08 11:30:54,786 INFO Train Epoch 0, Batch 13000 - 14000: RMSE = 0.82584547996521
2018-05-08 11:31:05,397 INFO Train Epoch 0, Batch 14000 - 15000: RMSE = 0.8227677941322327
2018-05-08 11:31:15,860 INFO Train Epoch 0, Batch 15000 - 16000: RMSE = 0.8396750092506409
2018-05-08 11:31:26,217 INFO Train Epoch 0, Batch 16000 - 17000: RMSE = 0.8307268619537354
2018-05-08 11:31:36,626 INFO Train Epoch 0, Batch 17000 - 18000: RMSE = 0.8454254865646362
2018-05-08 11:31:47,093 INFO Train Epoch 0, Batch 18000 - 19000: RMSE = 0.8576412200927734
2018-05-08 11:31:57,467 INFO Train Epoch 0, Batch 19000 - 20000: RMSE = 0.8589823842048645
2018-05-08 11:32:07,886 INFO Train Epoch 0, Batch 20000 - 21000: RMSE = 0.8528361320495605
2018-05-08 11:32:18,389 INFO Train Epoch 0, Batch 21000 - 22000: RMSE = 0.8463506102561951
2018-05-08 11:32:28,790 INFO Train Epoch 0, Batch 22000 - 23000: RMSE = 0.8330923914909363
2018-05-08 11:32:39,398 INFO Train Epoch 0, Batch 23000 - 24000: RMSE = 0.8410835266113281
